ASV-ID	PT1_1	PT1_2	PT1_3	PT1_4	BR1_1	BR1_2	BR1_3	BR1_4	BR2_1	BR2_2	BR2_3	BR2_4	BR3_1	BR3_2	BR3_3	BR3_4	RIC1	RIC2	RIC3	RIC4	ROC_1	ROC_2	ROC_3	ROC_4
ASV_1	0	0	0	0	0	0	0	0	24	0	0	0	0	41	11	8	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
ASV_3	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	24	0	0	0	0	0	0	0	0
ASV_5	92	294	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0
ASV_6	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0
ASV_7	5653	4560	3225	283	71	189	0	475	1479	280	881	1626	2372	5016	1897	2247	0	0	0	0	5463	0	0	22
ASV_8	3114	2238	1175	149	42	97	0	353	138	114	267	704	988	1214	264	743	0	0	0	8	2769	0	0	0
ASV_9	0	0	95	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	142	134	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0
ASV_14	0	323	0	409	0	0	0	0	0	0	0	0	19	103	0	16	0	0	0	0	945	0	0	0
ASV_15	133	356	186	0	0	0	0	0	0	0	0	94	122	0	0	0	0	0	0	0	130	0	0	0
ASV_16	0	0	0	0	0	0	0	0	83	0	0	0	175	175	79	147	0	0	0	0	0	0	0	0
ASV_17	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0
ASV_18	88	0	0	0	0	0	0	52	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0
ASV_20	2169	1172	814	87	70	0	0	168	209	80	198	537	457	1421	508	764	0	0	0	0	892	0	0	0
ASV_21	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	58	0	118	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	0	20	0	0	0	0	0	0	0	0	63	0	145	0	0	0	0	0	0	0	0	0
ASV_35	0	0	13	0	0	0	0	0	0	0	0	16	57	0	0	8	0	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	164	4	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	13	0	6	0	0	323	0	2120	15	0	0	0	0	0	0	0	0
ASV_40	5	0	0	0	65	0	0	0	0	19	0	2	543	123	1432	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3128	0	0	0	0	0	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
ASV_49	0	0	0	0	0	0	0	0	0	893	0	503	0	11	95	35	0	0	0	3	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0
ASV_53	11	19	0	0	0	0	0	6	0	31	0	0	39	0	0	0	35	0	0	0	4	0	0	0
ASV_54	463	39	49	0	0	0	0	0	0	16	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	0	6	7	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	0	0	0	0	0	28	0	3	0	0	0	0	0	0	619	0	0	0
ASV_59	0	21	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0
ASV_61	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_62	0	0	0	0	0	0	0	0	0	0	0	41	0	60	0	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0
ASV_64	0	0	31	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0
ASV_65	0	0	0	0	0	0	0	0	0	153	0	276	54	0	0	0	0	0	0	0	0	0	0	0
ASV_66	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	0	0	3	0	0	0	0	0	882	0	406	76	0	0	27	0	0	0	0	0	0	2	0
ASV_68	0	0	0	0	11	0	0	0	0	233	0	450	378	20	0	0	0	0	0	0	0	0	0	0
