sample_name	Location	Variety	Varietystatus	Healthstatus	Source	Compartment	Allgroup	Block
PT1_1	LamLukKa_PathumThani	PTT1	Resistant	NonInfected_PTT1	Origin	Seed	PT1	PT1.1
PT1_2	LamLukKa_PathumThani	PTT1	Resistant	NonInfected_PTT1	Origin	Seed	PT1	PT1.2
PT1_3	LamLukKa_PathumThani	PTT1	Resistant	NonInfected_PTT1	Origin	Seed	PT1	PT1.3
PT1_4	LamLukKa_PathumThani	PTT1	Resistant	NonInfected_PTT1	Origin	Seed	PT1	PT1.4
BR1_1	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR1	BR1.1
BR1_2	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR1	BR1.2
BR1_3	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR1	BR1.3
BR1_4	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR1	BR1.4
BR2_1	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR2	BR2.1
BR2_2	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR2	BR2.2
BR2_3	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR2	BR2.3
BR2_4	LahanSai_BuriRam	KDML105	Susceptible	Infected_KDML105	Origin	Seed	KDMLBR2	BR2.4
BR3_1	NangRong_BuriRam	KDML105	Susceptible	NonInfected_KDML105	Origin	Seed	KDMLBR3	BR3.1
BR3_2	NangRong_BuriRam	KDML105	Susceptible	NonInfected_KDML105	Origin	Seed	KDMLBR3	BR3.2
BR3_3	NangRong_BuriRam	KDML105	Susceptible	NonInfected_KDML105	Origin	Seed	KDMLBR3	BR3.3
BR3_4	NangRong_BuriRam	KDML105	Susceptible	NonInfected_KDML105	Origin	Seed	KDMLBR3	BR3.4
RIC1	LamLukKa_PathumThani	PTT1	Resistant	NonInfected_BLB	Culturable	Inner	PT1i	PT1
RIC2	LahanSai_BuriRam	KDML105	Susceptible	Infected_BLB	Culturable	Inner	KDMLBR1i	KDMLBR1	
RIC3	LahanSai_BuriRam	KDML105	Susceptible	Infected_BLB	Culturable	Inner	KDMLBR2i	KDMLBR2
RIC4	NangRong_BuriRam	KDML105	Susceptible	Infected_BLB	Culturable	Inner	KDMLBR3i	KDMLBR3
ROC_1	LamLukKa_PathumThani	PTT1	Resistant	NonInfected_BLB	Culturable	Outer	PT1o	PT1
ROC_2	LahanSai_BuriRam	KDML105	Susceptible	Infected_BLB	Culturable	Outer	KDMLBR1o	KDMLBR1
ROC_3	LahanSai_BuriRam	KDML105	Susceptible	Infected_BLB	Culturable	Outer	KDMLBR2o	KDMLBR2
ROC_4	NangRong_BuriRam	KDML105	Susceptible	Infected_BLB	Culturable	Outer	KDMLBR3o	KDMLBR3
