"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Confidence"
"ASV_1"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9918600"
"ASV_2"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9998341"
"ASV_3"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9997262"
"ASV_4"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9994187"
"ASV_5"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9997794"
"ASV_6"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9998208"
"ASV_7"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9998384"
"ASV_8"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9996725"
"ASV_9"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9996923"
"ASV_10"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9996622"
"ASV_11"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9996553"
"ASV_12"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9997280"
"ASV_13"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9997033"
"ASV_14"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9996532"
"ASV_15"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9994318"
"ASV_16"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9997101"
"ASV_17"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9994182"
"ASV_18"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	" Paenibacillus_hunanensis"	"0.7717715"
"ASV_19"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	""	"0.9964962"
"ASV_20"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	" Paenibacillus_hunanensis"	"0.8032922"
"ASV_21"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	" Paenibacillus_hunanensis"	"0.7473828"
"ASV_22"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	" Paenibacillus_hunanensis"	"0.7466899"
"ASV_23"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	" Paenibacillus_hunanensis"	"0.7176411"
"ASV_24"	"Bacteria"	" Firmicutes"	" Bacilli"	" Paenibacillales"	" Paenibacillaceae"	" Paenibacillus"	" Paenibacillus_hunanensis"	"0.7208401"
